date,month,year,plantingtype,field,species,number,location,tube,lifestage,stems,height_cm,rodentdamage,id,protected,death,browse,,
3/8/2024,March,2024,Staked,Underhill,lucida,501,3-7,Yes,nothing,0,74,none,5013-7,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,502,2-19,No,nothing,0,56,none,5022-19,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,503,1-32,No,nothing,0,61,none,5031-32,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,504,2-42,No,nothing,0,71,none,5042-42,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,505,1-59,No,nothing,0,67,none,5051-59,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,506,2-3,No,nothing,0,71,none,5062-3,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,507,2-12,No,nothing,0,70,none,5072-12,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,508,1-29,No,nothing,0,56,none,5081-29,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,509,3-32,Yes,nothing,0,72,none,5093-32,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,510,2-46,No,nothing,0,71,none,5102-46,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,511,2-1,No,nothing,0,56,none,5112-1,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,512,2-10,No,nothing,0,66,none,5122-10,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,513,1-26,Yes,nothing,0,67,none,5131-26,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,514,3-32,No,nothing,0,69,none,5143-32,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,515,2-44,No,nothing,0,58,none,5152-44,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,516,2-14,No,nothing,0,80,none,5162-14,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,667,1-17,No,nothing,0,68,none,6671-17,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,518,2-31,No,nothing,0,70,rodent,5182-31,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,519,1-45,No,nothing,0,76,none,5191-45,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,520,3-54,Yes,nothing,0,60,none,5203-54,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,521,2-3,No,nothing,0,74,rodent,5212-3,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,522,1-13,No,nothing,0,68,none,5221-13,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,523,2-18,No,nothing,0,59,none,5232-18,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,524,2-47,No,nothing,0,67,none,5242-47,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,525,3-55,Yes,nothing,0,59,none,5253-55,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,526,2-7,No,nothing,0,59,none,5262-7,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,527,3-8,Yes,nothing,0,60,none,5273-8,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,528,1-15,No,nothing,0,54,none,5281-15,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,529,1-22,No,nothing,0,69,none,5291-22,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,530,3-48,Yes,nothing,0,69,none,5303-48,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,531,1-12,No,nothing,0,54,none,5311-12,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,532,3-18,Yes,nothing,0,63,none,5323-18,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,533,2-31,No,nothing,0,72,none,5332-31,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,491,3-47,Yes,nothing,0,59,none,4913-47,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,535,2-57,No,scaleless buds,0,75,none,5352-57,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,536,2-5,No,nothing,0,62,none,5362-5,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,537,1-19,No,nothing,0,42,none,5371-19,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,538,2-27,No,nothing,0,59,none,5382-27,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,491,3-47,Yes,nothing,0,43,none,4913-47,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,540,3-61,Yes,nothing,0,61,none,5403-61,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,541,3-3,Yes,nothing,0,56,none,5413-3,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,542,3-13,No,nothing,0,70,none,5423-13,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,543,2-25,Yes,nothing,0,49,none,5432-25,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,544,1-38,No,nothing,0,58,none,5441-38,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,545,2-49,No,scaled buds,0,59,rodent,5452-49,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,546,1-10,No,nothing,0,57,none,5461-10,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,547,1-25,No,nothing,0,65,none,5471-25,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,548,2-32,No,scaled buds,0,66,none,5482-32,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,549,1-36,No,nothing,0,73,none,5491-36,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,550,2-52,No,nothing,0,64,none,5502-52,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,551,2-18,No,nothing,0,64,none,5512-18,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,552,3-33,Yes,nothing,0,71,none,5523-33,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,553,1-41,No,nothing,0,43,none,5531-41,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,554,2-47,No,nothing,0,67,none,5542-47,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,555,1-53,No,nothing,0,47,none,5551-53,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,556,3-18,Yes,nothing,0,73,none,5563-18,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,557,2-34,No,scaled buds,0,61,none,5572-34,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,558,3-41,Yes,nothing,0,54,none,5583-41,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,559,2-50,No,nothing,0,59,none,5592-50,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,560,3-54,Yes,nothing,0,61,none,5603-54,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,561,2-8,No,nothing,0,78,none,5612-8,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,562,1-12,No,nothing,0,70,none,5621-12,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,563,2-28,No,nothing,0,67,none,5632-28,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,564,1-37,No,nothing,0,66,none,5641-37,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,565,3-44,Yes,nothing,0,68,none,5653-44,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,566,2-8,No,nothing,0,75,none,5662-8,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,567,3-14,Yes,nothing,0,66,none,5673-14,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,568,3-27,Yes,nothing,0,64,none,5683-27,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,569,2-30,No,nothing,0,66,none,5692-30,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,570,3-49,Yes,nothing,0,58,none,5703-49,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,571,1-12,No,nothing,0,70,none,5711-12,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,572,3-15,Yes,nothing,0,55,none,5723-15,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,573,2-22,No,scaled buds,0,57,none,5732-22,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,574,2-55,No,nothing,0,50,none,5742-55,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,575,3-55,Yes,nothing,0,66,none,5753-55,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,576,1-10,No,nothing,0,51,rodent,5761-10,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,577,3-20,Yes,nothing,0,72,none,5773-20,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,578,2-26,No,nothing,0,70,none,5782-26,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,579,2-48,No,nothing,0,46,none,5792-48,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,580,2-56,No,nothing,0,65,none,5802-56,,,,,
5/7/2024,May,2024,Staked,Underhill,lucida,501,3-7,Yes,nothing,0,74,none,5013-7,,died,,,
5/7/2024,May,2024,Staked,Underhill,lucida,502,2-19,No,leaves,0,56,none,5022-19,,,,,
5/7/2024,May,2024,Staked,Underhill,lucida,503,1-32,No,nothing,0,61,none,5031-32,,died,,,
5/7/2024,May,2024,Staked,Underhill,lucida,504,2-42,No,leaves,0,71,none,5042-42,,,,,
5/7/2024,May,2024,Staked,Underhill,lucida,505,1-59,No,nothing,0,67,none,5051-59,,,,,
5/7/2024,May,2024,Staked,Underhill,discolor,506,2-3,No,scaled buds,0,71,none,5062-3,,,,,
5/7/2024,May,2024,Staked,Underhill,discolor,507,2-12,No,nothing,0,70,none,5072-12,,,,,
5/7/2024,May,2024,Staked,Underhill,discolor,508,1-29,No,nothing,0,56,none,5081-29,,died,,,
5/7/2024,May,2024,Staked,Underhill,discolor,509,3-32,Yes,nothing,0,72,none,5093-32,,died,,,
5/7/2024,May,2024,Staked,Underhill,discolor,510,2-46,No,leaves,0,71,none,5102-46,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,511,2-1,No,scaled buds,0,56,none,5112-1,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,512,2-10,No,nothing,0,66,none,5122-10,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,513,1-26,Yes,leaves,0,67,none,5131-26,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,514,3-32,No,leaves,0,69,none,5143-32,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,515,2-44,No,nothing,0,58,none,5152-44,,died,,,
5/7/2024,May,2024,Staked,Underhill,sericea,516,2-14,No,scaled buds,0,80,none,5162-14,,,,,
5/7/2024,May,2024,Staked,Underhill,sericea,667,1-17,No,nothing,0,68,rodent,6671-17,,died,,,
5/7/2024,May,2024,Staked,Underhill,sericea,518,2-31,No,leaves,0,70,rodent,5182-31,,died,,,
5/7/2024,May,2024,Staked,Underhill,sericea,519,1-45,No,nothing,0,76,rodent,5191-45,,died,,,
5/7/2024,May,2024,Staked,Underhill,sericea,520,3-54,Yes,nothing,0,60,none,5203-54,,died,,,
5/7/2024,May,2024,Staked,Barberry,purpurea,521,2-3,No,scaled buds,0,74,rodent,5212-3,,,,,
5/7/2024,May,2024,Staked,Barberry,purpurea,522,1-13,No,leaves,0,68,none,5221-13,,,,,
5/7/2024,May,2024,Staked,Barberry,purpurea,523,2-18,No,scaleless buds,0,59,none,5232-18,,,,,
5/7/2024,May,2024,Staked,Barberry,purpurea,524,2-47,No,leaves,0,67,none,5242-47,,,,,
5/7/2024,May,2024,Staked,Barberry,purpurea,525,3-55,Yes,scaleless buds,0,59,none,5253-55,,,,,
5/7/2024,May,2024,Staked,Barberry,sericea,526,2-7,No,scaleless buds,0,59,none,5262-7,,,,,
5/7/2024,May,2024,Staked,Barberry,sericea,527,3-8,Yes,leaves,0,60,none,5273-8,,,,,
5/7/2024,May,2024,Staked,Barberry,sericea,528,1-15,No,nothing,0,54,none,5281-15,,died,,,
5/7/2024,May,2024,Staked,Barberry,sericea,529,1-22,No,nothing,0,69,none,5291-22,,died,,,
5/7/2024,May,2024,Staked,Barberry,sericea,530,3-48,Yes,nothing,0,69,none,5303-48,,,,,
5/7/2024,May,2024,Staked,Barberry,lucida,531,1-12,No,scaleless buds,0,54,none,5311-12,,,,,
5/7/2024,May,2024,Staked,Barberry,lucida,532,3-18,Yes,scaleless buds,0,63,none,5323-18,,,,,
5/7/2024,May,2024,Staked,Barberry,lucida,533,2-31,No,leaves,0,72,none,5332-31,,,,,
5/7/2024,May,2024,Staked,Barberry,lucida,491,3-47,Yes,nothing,0,59,none,4913-47,,,,,
5/7/2024,May,2024,Staked,Barberry,lucida,535,2-57,No,nothing,0,75,none,5352-57,,,,,
5/7/2024,May,2024,Staked,Barberry,discolor,536,2-5,No,scaled buds,0,62,none,5362-5,,died,,,
5/7/2024,May,2024,Staked,Barberry,discolor,537,1-19,No,nothing,0,42,none,5371-19,,died,,,
5/7/2024,May,2024,Staked,Barberry,discolor,538,2-27,No,scaled buds,0,59,none,5382-27,,,,,
5/7/2024,May,2024,Staked,Barberry,discolor,491,3-47,Yes,leaves,0,43,none,4913-47,,,,,
5/7/2024,May,2024,Staked,Barberry,discolor,540,3-61,Yes,scaleless buds,0,61,none,5403-61,,,,,
5/7/2024,May,2024,Staked,GP1,discolor,541,3-3,Yes,nothing,0,56,none,5413-3,,,,,
5/7/2024,May,2024,Staked,GP1,discolor,542,3-13,No,nothing,0,70,none,5423-13,,died,,,
5/7/2024,May,2024,Staked,GP1,discolor,543,2-25,Yes,nothing,0,49,none,5432-25,,died,,,
5/7/2024,May,2024,Staked,GP1,discolor,544,1-38,No,scaled buds,0,58,none,5441-38,,,,,
5/7/2024,May,2024,Staked,GP1,discolor,545,2-49,No,scaled buds,0,59,rodent,5452-49,,,,,
5/7/2024,May,2024,Staked,GP1,purpurea,546,1-10,No,nothing,0,57,none,5461-10,,,,,
5/7/2024,May,2024,Staked,GP1,purpurea,547,1-25,No,leaves,0,65,none,5471-25,,,,,
5/7/2024,May,2024,Staked,GP1,purpurea,548,2-32,No,leaves,0,66,none,5482-32,,,,,
5/7/2024,May,2024,Staked,GP1,purpurea,549,1-36,No,scaled buds,0,73,none,5491-36,,died,,,
5/7/2024,May,2024,Staked,GP1,purpurea,550,2-52,No,leaves,0,66,none,5502-52,,,,,
5/7/2024,May,2024,Staked,GP1,lucida,551,2-18,No,nothing,0,64,none,5512-18,,,,,
5/7/2024,May,2024,Staked,GP1,lucida,552,3-33,Yes,nothing,0,71,none,5523-33,,died,,,
5/7/2024,May,2024,Staked,GP1,lucida,553,1-41,No,leaves,0,43,none,5531-41,,,,,
5/7/2024,May,2024,Staked,GP1,lucida,554,2-47,No,scaled buds,0,67,none,5542-47,,died,,,
5/7/2024,May,2024,Staked,GP1,lucida,555,1-53,No,scaleless buds,0,47,none,5551-53,,,,,
5/7/2024,May,2024,Staked,GP1,sericea,556,3-18,Yes,nothing,0,73,none,5563-18,,,,,
5/7/2024,May,2024,Staked,GP1,sericea,557,2-34,No,scaled buds,0,61,none,5572-34,,died,,,
5/7/2024,May,2024,Staked,GP1,sericea,558,3-41,Yes,nothing,0,54,none,5583-41,,died,,,
5/7/2024,May,2024,Staked,GP1,sericea,559,2-50,No,scaled buds,0,59,none,5592-50,,,,,
5/7/2024,May,2024,Staked,GP1,sericea,560,3-54,Yes,leaves,0,61,none,5603-54,,,,,
5/7/2024,May,2024,Staked,GP2,sericea,561,2-8,No,scaless buds,0,78,none,5612-8,,,,,
5/7/2024,May,2024,Staked,GP2,sericea,562,1-12,No,leaves ,0,70,none,5621-12,,,,,
5/7/2024,May,2024,Staked,GP2,sericea,563,2-28,No,nothing,0,67,none,5632-28,,died,,,
5/7/2024,May,2024,Staked,GP2,sericea,564,1-37,No,nothing,0,66,none,5641-37,,died,,,
5/7/2024,May,2024,Staked,GP2,sericea,565,3-44,Yes,nothing,0,68,none,5653-44,,died,,,
5/7/2024,May,2024,Staked,GP2,lucida,566,2-8,No,nothing,0,75,none,5662-8,,died,,,
5/7/2024,May,2024,Staked,GP2,lucida,567,3-14,Yes,nothing,0,66,none,5673-14,,died,,,
5/7/2024,May,2024,Staked,GP2,lucida,568,3-27,Yes,nothing,0,64,none,5683-27,,,,,
5/7/2024,May,2024,Staked,GP2,lucida,569,2-30,No,scaless buds,0,66,none,5692-30,,,,,
5/7/2024,May,2024,Staked,GP2,lucida,570,3-49,Yes,nothing,0,58,none,5703-49,,,,,
5/7/2024,May,2024,Staked,GP2,purpurea,571,1-12,No,leaves ,0,70,none,5711-12,,died,,,
5/7/2024,May,2024,Staked,GP2,purpurea,572,3-15,Yes,leaves ,0,55,none,5723-15,,,,,
5/7/2024,May,2024,Staked,GP2,purpurea,573,2-22,No,leaves ,0,60,none,5732-22,,,,,
5/7/2024,May,2024,Staked,GP2,purpurea,574,2-55,No,leaves ,0,50,none,5742-55,,,,,
5/7/2024,May,2024,Staked,GP2,purpurea,575,3-55,Yes,leaves ,0,66,none,5753-55,,,,,
5/7/2024,May,2024,Staked,GP2,discolor,576,1-10,No,nothing,0,51,none,5761-10,,,,,
5/7/2024,May,2024,Staked,GP2,discolor,577,3-20,Yes,nothing,0,72,none,5773-20,,died,,,
5/7/2024,May,2024,Staked,GP2,discolor,578,2-26,No,scaled buds ,0,70,none,5782-26,,died,,,
5/7/2024,May,2024,Staked,GP2,discolor,579,2-48,No,leaves ,0,46,none,5792-48,,died,,,
5/7/2024,May,2024,Staked,GP2,discolor,580,2-56,No,leaves ,0,65,none,5802-56,,died,,,
7/23/2024,July,2024,Staked,Underhill,lucida,501,3-9,Yes,leaves,3,154,none,5013-9,,,,,
7/23/2024,July,2024,Staked,Underhill,lucida,502,2-19,No,leaves,0,75,none,5022-19,,,,,
7/23/2024,July,2024,Staked,Underhill,lucida,503,1-31,No,leaves,0,101,none,5031-31,,,,,
7/23/2024,July,2024,Staked,Underhill,lucida,504,2-42,No,leaves,0,89,none,5042-42,,,,,
7/23/2024,July,2024,Staked,Underhill,lucida,505,1-59,No,leaves,0,67,none,5051-59,,,,,
7/23/2024,July,2024,Staked,Underhill,discolor,506,2-3,No,leaves,0,99,none,5062-3,,died,,,
7/23/2024,July,2024,Staked,Underhill,discolor,507,2-12,No,leaves,0,77,none,5072-12,,died,,,
7/23/2024,July,2024,Staked,Underhill,discolor,508,1-28,No,leaves,0,67,none,5081-28,,,,,
7/23/2024,July,2024,Staked,Underhill,discolor,509,3-33,Yes,leaves,0,87,none,5093-33,,died,,,
7/23/2024,July,2024,Staked,Underhill,discolor,510,2-46,No,leaves,0,74,none,5102-46,,died,,,
7/23/2024,July,2024,Staked,Underhill,purpurea,511,2-1,No,leaves,0,80,rodent,5112-1,,,,,
7/23/2024,July,2024,Staked,Underhill,purpurea,512,2-10,No,leaves,0,84,none,5122-10,,,,,
7/23/2024,July,2024,Staked,Underhill,purpurea,513,1-26,Yes,leaves,0,107,rodent,5131-26,,,,,
7/23/2024,July,2024,Staked,Underhill,purpurea,514,3-32,No,leaves,1,144,none,5143-32,,,,,
7/23/2024,July,2024,Staked,Underhill,purpurea,515,2-45,No,leaves,1,75,rodent,5152-45,,,,,
7/23/2024,July,2024,Staked,Underhill,sericea,516,2-14,No,leaves,1,81,none,5162-14,,,,,
7/23/2024,July,2024,Staked,Underhill,sericea,667,1-18,No,leaves,1,115,none,6671-18,,died,,,
7/23/2024,July,2024,Staked,Underhill,sericea,518,2-32,No,leaves,2,107,none,5182-32,,,,,
7/23/2024,July,2024,Staked,Underhill,sericea,519,1-43,No,leaves,0,97,none,5191-43,,,,,
7/23/2024,July,2024,Staked,Underhill,sericea,520,3-52,Yes,leaves,0,93,rodent,5203-52,,,,,
7/23/2024,July,2024,Staked,Barberry,purpurea,521,2-3,No,leaves,1,94,rodent,5212-3,,,,,
7/23/2024,July,2024,Staked,Barberry,purpurea,522,1-13,No,leaves,1,127,none,5221-13,,,,,
7/23/2024,July,2024,Staked,Barberry,purpurea,523,2-18,No,leaves,0,41,rodent,5232-18,,,,,
7/23/2024,July,2024,Staked,Barberry,purpurea,524,2-47,No,leaves,3,104,none,5242-47,,,,,
7/23/2024,July,2024,Staked,Barberry,purpurea,525,3-55,Yes,leaves,2,141,none,5253-55,,,,,
7/23/2024,July,2024,Staked,Barberry,sericea,526,2-7,No,leaves,1,107,none,5262-7,,,,,
7/23/2024,July,2024,Staked,Barberry,sericea,527,3-8,Yes,leaves,2,119,none,5273-8,,,,,
7/23/2024,July,2024,Staked,Barberry,sericea,528,1-16,No,leaves,1,63,rodent,5281-16,,,,,
7/23/2024,July,2024,Staked,Barberry,sericea,529,1-23,No,leaves,2,90,none,5291-23,,,,,
7/23/2024,July,2024,Staked,Barberry,sericea,530,3-48,Yes,leaves,3,122,none,5303-48,,,,,
7/23/2024,July,2024,Staked,Barberry,lucida,531,1-12,No,leaves,1,86,none,5311-12,,,,,
7/23/2024,July,2024,Staked,Barberry,lucida,532,3-18,Yes,leaves,3,123,none,5323-18,,,,,
7/23/2024,July,2024,Staked,Barberry,lucida,533,2-31,No,leaves,4,96,none,5332-31,,,,,
7/23/2024,July,2024,Staked,Barberry,lucida,491,3-47,Yes,leaves,1,64,none,4913-47,,,,,
7/23/2024,July,2024,Staked,Barberry,lucida,535,2-57,No,leaves,1,72,none,5352-57,,died,,,
7/23/2024,July,2024,Staked,Barberry,discolor,536,2-3,No,leaves,2,94,none,5362-3,,,,,
7/23/2024,July,2024,Staked,Barberry,discolor,537,1-20,No,leaves,1,72,none,5371-20,,,,,
7/23/2024,July,2024,Staked,Barberry,discolor,538,2-27,No,leaves,3,79,none,5382-27,,,,,
7/23/2024,July,2024,Staked,Barberry,discolor,539,3-47,Yes,leaves,1,88,none,5393-47,,,,,
7/23/2024,July,2024,Staked,Barberry,discolor,540,3-61,Yes,leaves,1,102,none,5403-61,,,,,
7/23/2024,July,2024,Staked,GP1,discolor,541,3-3,Yes,leaves,0,56,none,5413-3,,died,,,
7/23/2024,July,2024,Staked,GP1,discolor,542,3-12,No,leaves,0,90,none,5423-12,,,,,
7/23/2024,July,2024,Staked,GP1,discolor,543,2-28,Yes,leaves,2,91,none,5432-28,,,,,
